table_name,column_name,is_nullable,data_type
ADDRESS_POLY_20230505,STR_NUM,YES,STRING
ADDRESS_POLY_20230505,STR,YES,STRING
ADDRESS_POLY_20230505,UNIT_DES,YES,STRING
ADDRESS_POLY_20230505,UNIT_NUM,YES,STRING
ADDRESS_POLY_20230505,CITY,YES,STRING
ADDRESS_POLY_20230505,STATE,YES,STRING
ADDRESS_POLY_20230505,ZIP,YES,INT64
ADDRESS_POLY_20230505,ZIP4,YES,STRING
ADDRESS_POLY_20230505,ZBA_PR_USE,YES,STRING
ADDRESS_POLY_20230505,CNTY_FIPS,YES,INT64
ADDRESS_POLY_20230505,ADDR_CONF,YES,INT64
ADDRESS_POLY_20230505,ID,YES,INT64
ADDRESS_POLY_20230505,STATUS,YES,STRING
ADDRESS_POLY_20230505,AVAILABILTY_DATE,YES,STRING
ADDRESS_POLY_20230505,SERVING_WIRE_CENTER_CLLI,YES,STRING
ADDRESS_POLY_20230505,SERVING_WIRE_CENTER_NAME,YES,STRING
ADDRESS_POLY_20230505,SERVICE_TYPE,YES,STRING
SAP_IQGeo_REPORT_V,Company_Code,YES,STRING
SAP_IQGeo_REPORT_V,Document_No,YES,STRING
SAP_IQGeo_REPORT_V,Document_Line_No,YES,STRING
SAP_IQGeo_REPORT_V,Document_Unique,YES,STRING
SAP_IQGeo_REPORT_V,Fiscal_Year,YES,STRING
SAP_IQGeo_REPORT_V,State,YES,STRING
SAP_IQGeo_REPORT_V,Document_Date,YES,DATE
SAP_IQGeo_REPORT_V,Document_Type,YES,STRING
SAP_IQGeo_REPORT_V,Posting_Date,YES,DATE
SAP_IQGeo_REPORT_V,Object,YES,STRING
SAP_IQGeo_REPORT_V,ACDOCA_Object,YES,STRING
SAP_IQGeo_REPORT_V,Object_Description,YES,STRING
SAP_IQGeo_REPORT_V,WBS,YES,STRING
SAP_IQGeo_REPORT_V,Cost_Element,YES,STRING
SAP_IQGeo_REPORT_V,Cost_Element_Name,YES,STRING
SAP_IQGeo_REPORT_V,Reg_Account,YES,STRING
SAP_IQGeo_REPORT_V,Reg_Accounts_Description,YES,STRING
SAP_IQGeo_REPORT_V,Val_CO_Area_Crcy,YES,NUMERIC
SAP_IQGeo_REPORT_V,Operation_Flag,YES,STRING
SAP_IQGeo_REPORT_V,TICKET_PROPERTIES_ID,YES,STRING
SAP_IQGeo_REPORT_V,TICKET_STATUS,YES,STRING
SAP_IQGeo_REPORT_V,TICKET_TYPE,YES,STRING
SAP_IQGeo_REPORT_V,TICKET_TYPE_CATEGORY,YES,STRING
SAP_IQGeo_REPORT_V,TICKET_CREATED_DATETIME,YES,DATETIME
SAP_IQGeo_REPORT_V,TICKET_START_DATETIME,YES,DATETIME
SAP_IQGeo_REPORT_V,TICKET_DUE_DATETIME,YES,DATETIME
SAP_IQGeo_REPORT_V,TICKET_CREATOR_USERNAME,YES,STRING
SAP_IQGeo_REPORT_V,TICKET_ASSIGNED_USERNAME,YES,STRING
SAP_IQGeo_REPORT_V,TICKET_ASSIGNED_DATETIME,YES,DATETIME
SAP_IQGeo_REPORT_V,TICKET_REGION,YES,STRING
SAP_IQGeo_REPORT_V,PARENT_TICKET_PROJECT_NAME,YES,STRING
SAP_IQGeo_REPORT_V,PARSED_CLLI,YES,STRING
SAP_IQGeo_REPORT_V,WC_TICKET_CLLI,YES,STRING
SAP_IQGeo_REPORT_V,WIRECENTER_ID,YES,STRING
SAP_IQGeo_REPORT_V,WC_SAP_PROJECT_NUMBER,YES,STRING
SAP_IQGeo_REPORT_V,WC_PROFILE,YES,STRING
SAP_IQGeo_REPORT_V,WC_COMPANY_CODE,YES,STRING
SAP_IQGeo_REPORT_V,WC_INVESTMENT_YEAR,YES,STRING
SAP_IQGeo_REPORT_V,WC_CONTRACTOR,YES,STRING
SAP_IQGeo_REPORT_V,WC_REQUESTOR_COST_CENTER,YES,STRING
SAP_IQGeo_REPORT_V,WC_RESPONDER_COST_CENTER,YES,STRING
SAP_IQGeo_REPORT_V,WC_CITY,YES,STRING
SAP_IQGeo_REPORT_V,WC_STATE,YES,STRING
SAP_IQGeo_REPORT_V,WC_ZIP,YES,STRING
SAP_IQGeo_REPORT_V,WC_LOCATION,YES,STRING
SAP_IQGeo_REPORT_V,WBS_ID,YES,NUMERIC
SAP_IQGeo_REPORT_V,WBS_STATUS,YES,STRING
SAP_IQGeo_REPORT_V,WBS_ELEMENT,YES,STRING
SAP_IQGeo_REPORT_V,WBS_STATISTICAL,YES,BOOL
SAP_IQGeo_REPORT_V,WBS_INTEREST_PROFILE,YES,STRING
SAP_IQGeo_REPORT_V,WBS_INVESTMENT_PROFILE,YES,STRING
SAP_IQGeo_REPORT_V,WBS_REG_ACCOUNT,YES,STRING
SAP_IQGeo_REPORT_V,WBS_WC_NAME,YES,STRING
SAP_IQGeo_REPORT_V,CUPS_ID,YES,INT64
SAP_IQGeo_REPORT_V,CUPS_SAP_INVOICE_NO,YES,STRING
SAP_IQGeo_REPORT_V,CUPS_ITEMS_ID,YES,INT64
SAP_IQGeo_REPORT_V,CUPS_VENDOR_INVOICE_NO,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_VENDOR,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_SAP_STATUS,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_TICKET_TYPE,YES,STRING
SAP_IQGeo_REPORT_V,CUPS_CREATED_DATE,YES,DATETIME
SAP_IQGeo_REPORT_V,SUBMITTED_DATE,YES,DATETIME
SAP_IQGeo_REPORT_V,CUPS_APPROVED_DATE,YES,DATETIME
SAP_IQGeo_REPORT_V,IQGEO_CUPS_PROJECT_NUMBER,YES,STRING
SAP_IQGeo_REPORT_V,CUPS_ITEMS_SAP_STATUS,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_ITEMS_QTY_COMPLETED,YES,FLOAT64
SAP_IQGeo_REPORT_V,IQGEO_UNIT_PRICE,YES,FLOAT64
SAP_IQGeo_REPORT_V,TOTAL_COST_PER_TICKET,YES,FLOAT64
SAP_IQGeo_REPORT_V,CUPS_ITEMS_DESCRIPTION,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_EXTERNAL_ID,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_EXTERNAL_MSGD,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_TASK_CODE,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_CUPS_OBJECT_NUMBER,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_COST_ELEMENT,YES,STRING
SAP_IQGeo_REPORT_V,IQGEO_COST_ELEMENT_NAME,YES,STRING
SAP_IQGeo_REPORT_V,ADD_WC_NAME,YES,STRING
SAP_IQGeo_REPORT_V,ADDRESS_COUNT,YES,INT64
SAP_IQGeo_REPORT_V,PREM_COUNT,YES,INT64
ADDRESS_POLY_20230314,STR_NUM,YES,STRING
ADDRESS_POLY_20230314,STR,YES,STRING
ADDRESS_POLY_20230314,UNIT_DES,YES,STRING
ADDRESS_POLY_20230314,UNIT_NUM,YES,STRING
ADDRESS_POLY_20230314,CITY,YES,STRING
ADDRESS_POLY_20230314,STATE,YES,STRING
ADDRESS_POLY_20230314,ZIP,YES,INT64
ADDRESS_POLY_20230314,ZIP4,YES,STRING
ADDRESS_POLY_20230314,ZBA_PR_USE,YES,STRING
ADDRESS_POLY_20230314,CNTY_FIPS,YES,INT64
ADDRESS_POLY_20230314,ADDR_CONF,YES,INT64
ADDRESS_POLY_20230314,ID,YES,INT64
ADDRESS_POLY_20230314,STATUS,YES,STRING
ADDRESS_POLY_20230314,AVAILABILTY_DATE,YES,STRING
ADDRESS_POLY_20230314,SERVING_WIRE_CENTER_CLLI,YES,STRING
ADDRESS_POLY_20230314,SERVING_WIRE_CENTER_NAME,YES,STRING
ADDRESS_POLY_20230314,SERVICE_TYPE,YES,STRING
ADDRESS_POLY_20230621,STR_NUM,YES,STRING
ADDRESS_POLY_20230621,STR,YES,STRING
ADDRESS_POLY_20230621,UNIT_DES,YES,STRING
ADDRESS_POLY_20230621,UNIT_NUM,YES,STRING
ADDRESS_POLY_20230621,CITY,YES,STRING
ADDRESS_POLY_20230621,STATE,YES,STRING
ADDRESS_POLY_20230621,ZIP,YES,INT64
ADDRESS_POLY_20230621,ZIP4,YES,STRING
ADDRESS_POLY_20230621,ZBA_PR_USE,YES,STRING
ADDRESS_POLY_20230621,CNTY_FIPS,YES,INT64
ADDRESS_POLY_20230621,ADDR_CONF,YES,INT64
